,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,I_0,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,IR_0,IR_1,IR_2,IR_3,IR_4,IR_5,IR_6,IR_7,IR_8,IR_9,IR_10
0,-4.899,-2.477,-2.322,-1.824,-1.158,-0.579,-0.516,-0.111,0.464,1.095,1.378,-0.371,-0.201,-0.134,-0.113,-0.1,-0.095,-0.083,0.016,0.086,0.113,0.152,-0.496,-0.261,-0.196,-0.079,-0.06,-0.048,-0.033,0.02,0.093,0.158,0.567
1,-6.146,-2.337,-1.685,-1.115,-0.657,-0.511,0.173,0.408,0.756,1.051,2.216,-0.127,-0.108,-0.085,-0.057,-0.042,-0.027,0.02,0.044,0.054,0.107,0.159,-0.236,-0.161,-0.087,-0.042,-0.024,-0.016,0.015,0.056,0.123,0.168,0.229
2,-3.87,-1.559,-1.263,-0.987,-0.498,-0.42,0.372,0.531,0.871,1.185,1.941,-0.304,-0.22,-0.088,-0.072,-0.046,-0.031,0.042,0.055,0.067,0.078,0.087,-0.193,-0.171,-0.146,-0.094,-0.062,-0.02,0.034,0.061,0.09,0.158,0.182
3,-3.311,-2.604,-2.181,-1.485,-1.145,-0.87,-0.757,0.455,0.547,0.741,0.791,-0.476,-0.228,-0.186,-0.127,-0.116,-0.062,-0.024,0.086,0.11,0.162,0.402,-0.216,-0.153,-0.133,-0.107,-0.075,-0.051,-0.012,0.12,0.185,0.311,0.725
4,-21.571,-1.253,-1.016,-0.962,-0.879,-0.79,-0.712,-0.031,0.372,0.484,1.056,-0.366,-0.161,-0.091,-0.088,-0.081,-0.071,-0.047,0.028,0.055,0.073,0.11,-0.132,-0.12,-0.099,-0.091,-0.082,-0.057,-0.026,0.031,0.099,0.179,0.431
5,-1.804,-1.409,-1.12,-1.075,-1.061,-0.991,-0.9,0.463,0.513,0.567,4.151,-0.634,-0.501,-0.258,-0.228,-0.161,-0.113,-0.099,0.189,0.218,0.259,0.319,-0.472,-0.351,-0.287,-0.204,-0.163,-0.092,-0.08,0.045,0.458,0.471,0.621
6,-2.965,-2.668,-1.608,-1.219,-1.014,-0.957,-0.898,-0.774,-0.177,0.718,1.697,-0.522,-0.374,-0.215,-0.155,-0.133,-0.123,-0.118,-0.058,0.03,0.19,0.292,-0.487,-0.407,-0.194,-0.137,-0.13,-0.121,-0.081,-0.037,0.034,0.187,0.706
7,-2.198,-2.152,-1.933,-1.838,-1.45,-1.13,-1.12,-0.913,-0.734,0.331,1.62,-0.585,-0.574,-0.535,-0.459,-0.396,-0.37,-0.341,-0.321,-0.248,0.167,0.555,-0.566,-0.505,-0.427,-0.401,-0.328,-0.277,-0.221,-0.161,-0.125,0.105,1.243
8,-4.304,-3.646,-1.942,-1.521,-1.393,-1.383,-1.059,-0.439,0.192,0.666,0.768,-0.447,-0.379,-0.283,-0.193,-0.147,-0.095,-0.072,-0.037,0.027,0.148,0.265,-0.395,-0.273,-0.144,-0.104,-0.086,-0.068,-0.055,-0.027,0.037,0.297,0.425
9,-2.753,-2.333,-2.219,-1.649,-1.621,-1.203,-0.801,-0.164,0.567,0.771,1.54,-0.417,-0.37,-0.303,-0.265,-0.205,-0.169,-0.156,-0.007,0.331,0.367,0.424,-0.52,-0.345,-0.174,-0.124,-0.11,-0.097,-0.091,-0.0,0.402,0.603,0.94
10,-2.307,-1.826,-1.577,-1.345,-1.105,-0.68,0.214,0.646,0.872,1.555,1.871,-0.477,-0.22,-0.208,-0.159,-0.15,-0.12,0.073,0.154,0.216,0.234,0.308,-0.563,-0.212,-0.172,-0.134,-0.104,-0.068,0.082,0.133,0.177,0.303,0.591
11,-3.004,-2.295,-1.434,-1.278,-1.176,-1.146,-0.918,-0.599,0.313,0.628,0.816,-0.308,-0.271,-0.234,-0.118,-0.117,-0.096,-0.082,-0.035,0.061,0.139,0.199,-0.588,-0.204,-0.143,-0.118,-0.083,-0.08,-0.042,-0.024,0.078,0.269,0.698
12,-3.507,-1.62,-1.479,-1.325,-1.212,-1.044,-0.647,-0.273,0.505,1.303,2.058,-0.333,-0.303,-0.259,-0.22,-0.181,-0.162,-0.1,-0.031,0.169,0.202,0.277,-0.676,-0.323,-0.272,-0.225,-0.114,-0.094,-0.067,-0.019,0.115,0.242,0.496
13,-5.051,-3.992,-2.604,-1.187,-1.046,-1.0,-0.767,0.197,0.397,0.645,1.081,-0.284,-0.25,-0.198,-0.133,-0.055,-0.055,-0.041,0.022,0.034,0.043,0.055,-0.142,-0.099,-0.07,-0.053,-0.053,-0.047,-0.046,0.02,0.06,0.111,0.18
14,-2.956,-2.546,-1.88,-1.636,-1.311,-1.056,-0.556,0.484,0.736,1.199,1.756,-0.359,-0.256,-0.233,-0.173,-0.13,-0.095,-0.085,0.143,0.158,0.232,0.327,-0.542,-0.265,-0.128,-0.095,-0.071,-0.054,-0.039,0.107,0.188,0.327,0.809
15,-5.345,-3.189,-1.587,-0.991,-0.975,-0.914,-0.827,-0.818,-0.655,0.078,0.341,-0.324,-0.277,-0.22,-0.159,-0.112,-0.099,-0.083,-0.068,-0.038,0.072,0.119,-0.315,-0.17,-0.122,-0.103,-0.087,-0.083,-0.08,-0.071,-0.041,0.221,0.506
16,-2.363,-2.213,-1.77,-1.327,-1.157,-1.06,-0.915,-0.742,0.337,0.573,1.145,-0.368,-0.229,-0.171,-0.155,-0.149,-0.135,-0.104,-0.061,0.066,0.212,0.237,-0.554,-0.207,-0.173,-0.133,-0.105,-0.083,-0.06,-0.037,0.057,0.421,0.704
17,-3.107,-2.184,-1.899,-1.74,-1.625,-1.404,-1.291,-0.539,0.404,0.594,0.971,-0.328,-0.288,-0.247,-0.21,-0.172,-0.156,-0.119,-0.109,0.216,0.251,0.275,-0.649,-0.175,-0.125,-0.106,-0.103,-0.089,-0.086,-0.062,0.285,0.468,0.647
18,-5.55,-3.384,-2.449,-1.205,-1.03,-0.974,-0.795,-0.681,-0.352,0.328,0.581,-0.374,-0.252,-0.166,-0.148,-0.122,-0.119,-0.097,-0.064,-0.037,0.135,0.266,-0.397,-0.222,-0.157,-0.116,-0.096,-0.085,-0.059,-0.043,-0.026,0.3,0.887
19,-2.529,-1.81,-1.648,-1.463,-1.273,-1.164,-0.908,-0.473,0.451,2.013,3.005,-0.349,-0.319,-0.285,-0.27,-0.233,-0.176,-0.173,-0.122,0.269,0.356,0.411,-0.623,-0.395,-0.238,-0.214,-0.179,-0.147,-0.088,-0.062,0.124,0.284,0.879
20,-4.695,-3.161,-2.628,-2.203,-1.967,-1.473,-0.846,-0.045,0.59,1.39,1.958,-0.496,-0.349,-0.269,-0.194,-0.176,-0.156,-0.12,0.032,0.224,0.272,0.359,-0.519,-0.3,-0.133,-0.099,-0.092,-0.061,-0.053,0.024,0.133,0.359,0.836
21,-4.714,-2.749,-2.259,-1.991,-1.592,-1.196,-0.927,-0.614,0.473,0.857,1.512,-0.278,-0.209,-0.181,-0.159,-0.153,-0.114,-0.103,-0.054,0.199,0.269,0.291,-0.26,-0.198,-0.125,-0.098,-0.085,-0.069,-0.042,-0.018,0.169,0.366,0.883
22,-3.597,-3.019,-2.527,-1.69,-1.426,-1.411,-1.349,-0.912,-0.412,0.401,0.609,-0.337,-0.255,-0.196,-0.179,-0.167,-0.137,-0.124,-0.101,-0.079,0.165,0.235,-0.458,-0.186,-0.138,-0.12,-0.104,-0.078,-0.066,-0.056,-0.037,0.397,0.414
